"TIME_UTC	 P	 T	 TAS	 U	 V	 W	 TEDR	 REYN	 G_LAT	 G_LONG	 G_ALT	 POT	 ROLL	 HDG	 PITCH                                                                                                                   "
"66405.52	100121	28815	10617	32	-284	726	-532	535	3743098	-12205562	-122	28806	6189	35512	2767"
"66406.52	99876	28800	10411	170	-323	1054	-645	534	3743192	-12205608	-19	28811	7301	635	2390"
"66407.52	99479	28760	10202	121	-310	696	-677	535	3743283	-12205649	168	28803	7115	1474	2195"
"66408.52	99197	28738	10059	143	-339	916	-648	538	3743376	-12205680	451	28804	7056	2296	2075"
"66409.52	98894	28706	10000	149	-405	824	-660	547	3743467	-12205694	835	28797	7029	3043	1811"
"66410.52	98644	28685	9931	122	-392	468	-676	543	3743551	-12205664	1279	28797	7047	3908	1607"
"66411.52	98413	28661	9870	116	-374	292	-659	543	3743625	-12205584	1757	28793	7043	4690	1372"
"66412.52	98230	28653	9820	168	-367	1612	-804	544	3743691	-12205496	2162	28800	6830	5481	1122"
"66413.52	98102	28642	9835	187	-335	1567	-579	541	3743747	-12205397	2445	28799	6477	6252	880"
"66414.52	98009	28632	9910	194	-303	371	-901	533	3743801	-12205304	2559	28797	6374	7024	815"
"66415.52	97963	28628	10029	171	-312	354	-718	541	3743847	-12205208	2626	28797	6002	7766	760"
"66416.52	97952	28625	10096	217	-255	726	-738	534	3743883	-12205104	2679	28795	5574	8482	701"
"66417.52	97901	28623	10208	233	-249	442	-700	535	3743908	-12204992	2695	28797	5232	9223	732"
"66418.52	97994	28621	10359	211	-246	465	-615	537	3743923	-12204875	2731	28787	4698	9819	820"
"66419.52	98215	28609	10571	144	-239	272	-854	526	3743926	-12204755	2774	28757	2464	10026	849"
"66420.52	98156	28615	10659	219	-197	-112	-684	529	3743920	-12204634	2812	28768	1051	10061	1145"
"66421.57	98083	28616	10783	207	-181	111	-732	523	3743909	-12204512	2856	28775	660	10088	1324"
"66422.57	97983	28611	10864	218	-138	-237	-752	528	3743895	-12204389	2903	28778	284	10136	1525"
"66423.57	97843	28607	10879	264	-71	-155	-1047	530	3743878	-12204265	2952	28785	255	10219	1669"
"66424.57	97675	28599	10890	289	-40	-338	-769	528	3743861	-12204142	3030	28791	234	10299	1812"
"66425.57	97456	28585	10871	312	-25	-247	-710	532	3743844	-12204019	3132	28796	207	10358	1942"
"66426.57	97232	28563	10865	302	-6	-116	-622	532	3743825	-12203897	3274	28793	202	10407	2015"
"66427.57	96985	28538	10854	290	6	-159	-718	527	3743805	-12203775	3445	28789	143	10450	2045"
"66428.57	96712	28517	10857	270	63	-160	-672	530	3743785	-12203654	3623	28790	49	10466	2028"
"66429.57	96448	28495	10840	268	96	-71	-632	525	3743763	-12203535	3815	28791	164	10494	1969"
"66430.57	96172	28480	10847	258	116	-351	-823	527	3743741	-12203418	4030	28800	127	10491	1827"
"66431.57	95914	28478	10885	235	165	-406	-709	527	3743717	-12203299	4273	28819	59	10513	1721"
"66432.57	95685	28473	10902	250	219	-44	-894	537	3743690	-12203183	4551	28834	-2	10555	1579"
"66433.57	95484	28455	10908	278	186	45	-652	534	3743662	-12203064	4831	28833	-163	10575	1495"
"66434.57	95306	28447	10966	285	209	-380	-791	536	3743633	-12202945	5109	28840	-395	10528	1485"
"66435.57	95129	28445	10963	342	216	-83	-591	544	3743605	-12202827	5354	28854	-329	10523	1456"
