REVISION: R0                                                                                                                                                                                            ,,,,,,,,,,,,,,,
R0: PRELIMINARY DATA                                                                                                                                                                                    ,,,,,,,,,,,,,,,
TIME_UTC, P, T, TAS, U, V, W, TEDR, REYN, G_LAT, G_LONG, G_ALT, POT, ROLL, HDG, PITCH                                                                                                                   
75515.87,99501,28513,10449,-233,-320,829,-757,541,3743289,-12205745,1015,28554,1389,3702,1433
75516.87,99195,28492,10556,-242,-298,-377,-823,543,3743384,-12205697,1166,28558,109,3458,1397
75517.87,99089,28485,10633,-214,-309,-82,-883,539,3743456,-12205609,1378,28560,148,3439,1386
75518.87,98848,28472,10722,-207,-289,-16,-678,538,3743520,-12205505,1573,28566,82,3468,1345
75519.87,98818,28470,10708,-162,-201,263,-699,533,3743581,-12205399,1703,28567,34,3463,1311
75520.87,98840,28475,10641,-83,-87,525,-752,491,3743646,-12205300,1849,28570,-542,3432,1252
75521.87,98580,28453,10818,-119,-150,351,-704,506,3743711,-12205195,1958,28569,-1020,3330,1241
75522.87,98393,28440,10947,-119,-173,244,-774,518,3743781,-12205103,2129,28572,-1030,3222,1211
75523.87,98214,28430,11042,-95,-171,23,-695,513,3743855,-12205019,2371,28577,-1010,3129,1226
75524.87,98084,28423,11117,-106,-139,46,-729,506,3743930,-12204939,2616,28581,-1153,3054,1218
75525.87,97943,28421,11157,-135,-103,98,-614,504,3744008,-12204859,2846,28590,-1001,2988,1146
75526.87,97838,28415,11139,-129,-61,-112,-684,495,3744089,-12204785,3052,28594,-969,2942,1092
75527.87,97740,28416,11100,-34,-47,41,-713,459,3744167,-12204712,3247,28602,-847,2877,1091
75528.87,97618,28416,11075,-22,1,16,716,432,3744254,-12204650,3365,28612,-258,2895,1062
75529.87,97511,28414,11076,20,10,257,642,426,3744340,-12204589,3471,28619,-144,2909,1041
75530.87,97401,28401,11134,-44,22,-19,-597,451,3744427,-12204528,3569,28616,-257,2909,1015
75531.92,97301,28394,11143,45,9,-46,-583,445,3744515,-12204466,3658,28617,-437,2904,1055
75532.92,97202,28376,11201,83,-44,17,-690,487,3744603,-12204404,3742,28607,-313,2809,1055
75533.92,97085,28364,11261,-13,-36,235,-747,465,3744691,-12204343,3831,28605,-174,2865,1055
75534.92,96974,28351,11282,-33,-5,-156,517,423,3744780,-12204283,3921,28601,-145,2874,1032
75535.92,96868,28359,11229,41,31,-403,-606,442,3744869,-12204222,4009,28618,-336,2871,1040
75536.92,96773,28341,11268,67,-38,196,-758,460,3744957,-12204160,4097,28608,-240,2804,1032
75537.92,96665,28338,11247,50,-10,-175,720,436,3745046,-12204100,4186,28614,-179,2821,1065
75538.92,96548,28335,11187,88,31,-290,-704,485,3745135,-12204039,4276,28621,-222,2805,1099
75539.92,96436,28323,11170,60,54,33,-637,467,3745224,-12203978,4367,28618,-116,2802,1035
75540.92,96328,28337,11076,117,131,-183,-1001,489,3745312,-12203918,4456,28642,-77,2797,1055
75541.92,96227,28327,11124,129,69,-355,-646,506,3745401,-12203858,4543,28640,-117,2793,1044
75542.92,96129,28323,11113,139,75,-329,-719,498,3745490,-12203797,4630,28644,-82,2785,1041
75543.92,96029,28334,11025,196,145,-341,-747,518,3745578,-12203737,4714,28664,-99,2769,1032
75544.92,95940,28347,10997,250,153,-453,-816,530,3745667,-12203677,4796,28685,-13,2759,1023
75545.92,95852,28345,10994,218,177,-354,-614,527,3745756,-12203614,4874,28690,-143,2742,1002
75546.92,95769,28343,11004,189,191,-337,-745,526,3745845,-12203555,4949,28695,-145,2767,996
75547.92,95687,28340,11000,165,219,-284,-601,528,3745934,-12203493,5020,28699,-211,2766,984
75548.92,95608,28339,10985,163,249,-237,-819,529,3746023,-12203434,5087,28705,-152,2768,975
75549.92,95534,28344,10971,145,288,-115,-674,533,3746113,-12203374,5152,28716,-245,2769,976
75550.92,95458,28341,10984,135,293,30,-666,533,3746202,-12203315,5215,28720,-222,2771,969
75551.92,95387,28341,10958,151,327,185,-633,537,3746292,-12203254,5280,28726,-224,2749,994
75552.92,95299,28340,10947,160,342,224,-685,538,3746383,-12203193,5349,28732,-63,2759,1060
75553.92,95206,28333,10955,148,340,165,-605,539,3746473,-12203134,5419,28734,-97,2768,1069
75554.92,95102,28331,10934,149,359,125,-798,540,3746563,-12203074,5494,28740,-88,2761,1141
75555.92,94996,28324,10925,156,350,262,-665,538,3746653,-12203015,5574,28742,8,2777,1165
75556.92,94885,28307,10947,148,316,236,-754,537,3746743,-12202955,5662,28735,229,2801,1137
75557.92,94776,28293,10939,154,307,405,-933,537,3746833,-12202895,5756,28730,823,2872,1089
75558.92,94666,28291,10898,145,352,476,-786,540,3746921,-12202835,5852,28738,1007,3005,1077
75559.92,94563,28281,10859,173,384,254,-912,545,3747009,-12202773,5946,28736,1104,3126,1074
75560.92,94464,28287,10849,117,427,95,-922,547,3747096,-12202708,6039,28751,512,3185,1079
75561.92,94361,28286,10838,100,457,-98,-938,549,3747183,-12202642,6128,28759,-20,3214,1115
75562.92,94261,28280,10826,88,471,-147,-734,548,3747270,-12202575,6218,28762,-46,3176,1125
75563.92,94164,28274,10831,70,467,-199,-768,549,3747356,-12202510,6308,28764,-23,3196,1114
75564.92,94069,28273,10835,42,474,-379,-807,549,3747442,-12202443,6397,28771,-85,3195,1129
75565.92,93968,28270,10854,1,468,-328,-822,549,3747528,-12202378,6486,28777,-105,3218,1115
75566.92,93874,28266,10861,-20,465,-229,-784,548,3747614,-12202312,6574,28782,-140,3212,1105
75567.92,93777,28265,10847,-27,480,-145,-864,549,3747701,-12202246,6661,28789,-176,3215,1086
75568.92,93689,28258,10852,-30,478,-96,-873,550,3747787,-12202180,6746,28789,-196,3196,1047
75569.92,93604,28253,10861,-42,480,-178,-798,550,3747873,-12202114,6830,28791,-269,3183,1026
75570.92,93520,28247,10861,-37,487,-200,-1076,550,3747960,-12202050,6912,28793,-181,3175,1021
