R0: PRELIMINARY DATA                                                                                                                                                                                    ,,,,,,,,,,,,,,,
TIME_UTC, P, T, TAS, U, V, W, TEDR, REYN, G_LAT, G_LONG, G_ALT, POT, ROLL, HDG, PITCH                                                                                                                   
78768.2,99868,29254,10632,314,-702,1223,-571,569,3742864,-12205625,17,29265,6038,895,1662
78769.2,99679,29234,10581,362,-735,1047,-841,573,3742952,-12205632,107,29261,6592,1817,1446
78770.2,99497,29220,10568,437,-794,1319,-648,576,3743043,-12205620,199,29263,6696,2658,1310
78771.2,99263,29186,10510,458,-779,917,-841,577,3743128,-12205573,334,29248,6709,3557,1213
78772.2,99070,29188,10518,460,-830,677,-762,579,3743202,-12205507,499,29266,6758,4490,1114
78773.2,98958,29197,10550,447,-883,889,-704,582,3743270,-12205428,631,29285,6709,5378,972
78774.2,98877,29169,10503,472,-825,957,-538,580,3743329,-12205333,740,29263,6516,6273,892
78775.2,98776,29170,10522,539,-885,424,-580,582,3743379,-12205227,905,29273,6205,7075,855
78776.2,98725,29202,10580,515,-876,390,-599,582,3743416,-12205113,1049,29309,5903,7879,928
78777.2,98689,29166,10576,561,-840,594,-607,580,3743443,-12204982,1257,29276,5676,8654,937
78778.2,98836,29180,10683,519,-839,544,-667,582,3743457,-12204858,1337,29278,5418,9290,908
78779.2,99069,29189,10882,427,-802,384,-611,576,3743457,-12204729,1380,29267,2995,9478,859
78780.2,99022,29202,11011,439,-724,69,-990,573,3743445,-12204599,1405,29285,1308,9517,1015
78781.2,98958,29203,11147,418,-711,-56,-681,572,3743430,-12204469,1457,29291,924,9522,1092
78782.2,98858,29183,11195,427,-734,-236,-615,573,3743415,-12204337,1532,29279,700,9585,1204
78783.2,98752,29192,11217,432,-695,-203,-699,573,3743398,-12204203,1640,29296,671,9655,1331
78784.25,98639,29185,11219,451,-661,-50,-762,571,3743380,-12204073,1752,29299,329,9712,1311
78785.25,98518,29202,11146,500,-659,-206,-930,573,3743361,-12203943,1887,29327,299,9748,1329
78786.25,98381,29211,11062,534,-662,-276,-756,573,3743343,-12203812,2027,29348,322,9766,1334
78787.25,98246,29207,10976,574,-632,-184,-781,573,3743322,-12203682,2167,29355,215,9817,1353
78788.25,98126,29229,10911,598,-602,-359,-715,573,3743303,-12203553,2298,29388,185,9826,1332
78789.25,97993,29298,10840,627,-541,-202,-849,573,3743283,-12203424,2427,29468,2,9845,1338
78790.25,97877,29349,10768,663,-475,268,-896,572,3743263,-12203298,2552,29530,101,9917,1276
78791.25,97765,29426,10762,645,-417,-26,-919,569,3743243,-12203173,2674,29617,200,9965,1262
78792.25,97636,29504,10786,589,-369,-131,-805,564,3743222,-12203045,2791,29706,166,10022,1277
78793.25,97519,29544,10749,597,-307,162,-725,562,3743202,-12202919,2902,29756,285,10077,1249
78794.25,97398,29551,10705,610,-295,209,-823,563,3743181,-12202794,3013,29774,344,10159,1259
78795.25,97270,29560,10689,607,-298,-68,-721,562,3743160,-12202669,3119,29795,306,10191,1354
78796.25,97156,29594,10735,534,-291,163,-852,558,3743137,-12202545,3231,29839,136,10210,1339
78797.25,97034,29617,10797,445,-279,345,-855,551,3743114,-12202420,3340,29872,129,10191,1321
78798.25,96914,29609,10815,406,-250,173,-861,548,3743092,-12202298,3451,29876,174,10184,1308
78799.25,96777,29602,10781,413,-249,212,-674,545,3743069,-12202175,3566,29880,123,10209,1324
78800.25,96639,29593,10738,431,-242,171,-735,548,3743045,-12202053,3682,29883,221,10248,1358
78801.25,96517,29571,10750,391,-236,4,-859,546,3743022,-12201931,3800,29872,303,10273,1336
78802.25,96387,29573,10706,411,-237,-118,-769,547,3742997,-12201809,3918,29886,258,10309,1298
78803.25,96252,29574,10636,466,-220,-233,-665,551,3742974,-12201686,4034,29899,247,10341,1309
78804.25,96125,29566,10578,511,-195,-102,-725,553,3742949,-12201565,4148,29901,267,10395,1278
78805.25,96011,29566,10542,534,-180,1,-600,554,3742924,-12201445,4257,29912,277,10436,1270
78806.25,95904,29615,10536,543,-129,34,-749,553,3742899,-12201325,4361,29971,141,10474,1231
78807.25,95803,29619,10511,568,-118,-67,-808,554,3742873,-12201204,4462,29984,101,10507,1192
78808.25,95699,29611,10488,588,-121,52,-802,557,3742846,-12201084,4558,29986,118,10515,1192
78809.25,95609,29605,10494,581,-136,-10,-641,557,3742820,-12200964,4648,29987,76,10530,1162
78810.25,95516,29598,10482,605,-144,116,-798,558,3742794,-12200843,4733,29988,99,10518,1167
78811.25,95434,29586,10504,601,-120,248,-730,558,3742767,-12200724,4812,29984,111,10554,1145
78812.25,95353,29590,10513,603,-150,-22,-668,557,3742740,-12200603,4887,29995,36,10571,1148
78813.25,95277,29604,10534,596,-150,-48,-740,556,3742713,-12200483,4959,30016,24,10546,1143
78814.25,95182,29598,10530,616,-132,-19,-748,558,3742685,-12200360,5029,30018,-148,10546,1178
78815.25,95087,29597,10520,642,-116,118,-697,561,3742658,-12200241,5096,30026,-167,10545,1208
78816.25,94994,29596,10551,622,-106,27,-821,559,3742631,-12200120,5172,30034,-131,10539,1243
78817.25,94883,29587,10574,626,-102,34,-731,558,3742603,-12199999,5250,30035,-55,10546,1295
78818.25,94772,29627,10610,632,-91,119,-907,560,3742576,-12199877,5332,30085,30,10567,1379
78819.25,94665,29675,10678,604,-94,49,-844,557,3742549,-12199755,5421,30143,-38,10581,1416
78820.25,94530,29740,10751,574,-97,83,-915,553,3742521,-12199636,5510,30221,52,10569,1463
78821.25,94394,29780,10763,599,-66,187,-941,555,3742494,-12199514,5606,30275,148,10607,1482
78822.25,94247,29825,10766,623,-72,283,-797,558,3742465,-12199391,5717,30334,163,10661,1497
78823.25,94097,29830,10799,612,-69,301,-915,556,3742436,-12199269,5843,30353,107,10655,1499
78824.25,93938,29860,10879,557,-38,259,-999,552,3742407,-12199148,5985,30398,82,10675,1505
78825.25,93771,29889,10913,552,-2,77,-1032,551,3742378,-12199025,6138,30444,32,10690,1525
78826.25,93604,29898,10887,595,5,-40,-802,554,3742349,-12198902,6300,30468,198,10726,1541
78827.25,93445,29918,10952,534,2,-97,-785,550,3742320,-12198779,6467,30504,251,10763,1546
78828.25,93280,29944,10965,521,-17,-24,-878,549,3742290,-12198656,6638,30545,199,10773,1533
78829.25,93121,29975,10916,565,-75,-84,-862,552,3742260,-12198533,6811,30592,-33,10752,1491
78830.25,92961,29995,10876,608,-127,-6,-1118,555,3742229,-12198410,6978,30627,-244,10694,1455
78831.25,92804,29994,10867,639,-116,-17,-926,558,3742199,-12198288,7135,30641,-241,10655,1439
78832.25,92655,30001,10852,677,-123,-70,-869,560,3742169,-12198165,7291,30662,-226,10674,1432
78833.25,92512,30002,10852,705,-111,-95,-851,562,3742139,-12198040,7445,30677,-117,10661,1417
78834.25,92368,30009,10868,722,-104,-85,-978,562,3742109,-12197914,7602,30698,-163,10679,1410
78835.25,92235,30006,10886,745,-107,-108,-956,563,3742080,-12197790,7771,30707,-47,10680,1405
78836.25,92105,30013,10935,735,-103,-165,-728,563,3742050,-12197663,7926,30726,-33,10681,1364
78837.25,91976,30010,11011,711,-63,-210,-858,561,3742020,-12197539,8071,30736,141,10708,1340
78838.25,91850,30003,11074,695,-43,-256,-758,560,3741989,-12197413,8208,30741,133,10758,1325
78839.25,91726,29999,11161,658,-24,-296,-1084,558,3741959,-12197286,8338,30748,172,10773,1309
78840.25,91603,29994,11210,652,-23,-186,-808,557,3741928,-12197159,8461,30756,220,10797,1294
78841.25,91481,29992,11262,644,-21,-61,-977,557,3741896,-12197032,8579,30765,279,10828,1283
78842.25,91357,29987,11319,628,-25,50,-913,555,3741864,-12196905,8694,30772,68,10842,1290
78843.25,91230,29985,11399,593,-19,120,-895,553,3741832,-12196778,8807,30781,47,10831,1275
78844.25,91097,29978,11480,551,-17,216,-947,550,3741798,-12196650,8925,30788,91,10833,1275
78845.25,90969,29973,11544,523,-33,148,-928,548,3741765,-12196523,9047,30795,52,10842,1278
78846.25,90840,29963,11605,497,-42,140,-886,546,3741731,-12196393,9170,30797,51,10822,1283
78847.25,90705,29954,11646,492,-41,94,-813,545,3741697,-12196264,9294,30801,180,10844,1287
78848.25,90570,29956,11685,478,-71,143,-826,544,3741663,-12196134,9419,30815,237,10870,1292
78849.25,90428,29953,11725,460,-106,78,-884,543,3741629,-12196005,9546,30827,-50,10839,1310
78850.25,90288,29948,11753,456,-122,-21,-904,542,3741594,-12195876,9674,30835,-223,10798,1323
78851.25,90153,29943,11781,456,-126,-140,-875,543,3741559,-12195746,9806,30843,-240,10774,1316
78852.25,90006,29940,11797,463,-138,-197,-845,544,3741524,-12195615,9941,30855,-195,10763,1320
78853.25,89863,29936,11821,458,-157,-225,-868,543,3741490,-12195485,10080,30865,-279,10732,1321
78854.25,89715,29930,11837,466,-165,-275,-835,544,3741455,-12195353,10222,30873,-511,10683,1329
78855.25,89566,29923,11849,474,-174,-235,-923,545,3741422,-12195221,10369,30880,-504,10629,1338
78856.25,89418,29916,11861,480,-179,-199,-1046,546,3741389,-12195089,10525,30887,-477,10599,1339
78857.25,89264,29904,11885,477,-175,-149,-975,545,3741356,-12194957,10678,30890,-436,10568,1341
78858.25,89116,29894,11904,481,-161,-131,-941,545,3741324,-12194824,10829,30895,-407,10545,1341
78859.25,88969,29883,11919,489,-151,-144,-901,546,3741293,-12194689,10981,30897,-371,10530,1344
78860.25,88816,29872,11946,480,-148,-124,-889,545,3741262,-12194556,11132,30901,-280,10512,1344
78861.25,88660,29863,11942,501,-155,-56,-719,546,3741232,-12194421,11283,30908,-178,10509,1347
78862.25,88480,29854,11923,524,-168,-4,-807,548,3741201,-12194288,11436,30917,-138,10507,1488
78863.25,88326,29842,11942,509,-143,8,-876,547,3741171,-12194153,11593,30919,-69,10517,1475
78864.25,88153,29835,11940,512,-141,9,-944,546,3741140,-12194019,11756,30929,-24,10517,1448
78865.25,87981,29829,11964,495,-121,-10,-865,546,3741110,-12193885,11920,30941,-33,10521,1424
78866.25,87814,29818,11999,474,-85,-17,-1037,542,3741080,-12193750,12089,30946,-70,10533,1382
78867.25,87655,29810,12029,459,-80,-72,-957,541,3741049,-12193615,12255,30954,-73,10533,1340
78868.25,87497,29801,12042,457,-93,-56,-934,541,3741019,-12193481,12419,30960,-54,10521,1344
78869.25,87344,29790,12060,452,-98,-33,-851,541,3740989,-12193346,12582,30964,-22,10525,1335
78870.25,87195,29777,12097,435,-94,-18,-943,539,3740959,-12193211,12745,30966,12,10530,1305
78871.25,87047,29765,12115,437,-96,-30,-902,539,3740929,-12193076,12905,30968,7,10532,1290
78872.25,86903,29753,12135,442,-97,-12,-926,540,3740898,-12192939,13064,30970,3,10537,1281
